IRIG Time	ARC_DECOM_STREAM_1: Imon FGM	
22:03:47.001663	59.236142	
22:03:47.023782	59.236142	
22:03:47.045900	57.635165	
22:03:47.068019	56.034188	
22:03:47.090137	58.435653	
22:03:47.112255	58.435653	
22:03:47.134374	58.435653	
22:03:47.156492	59.236142	
22:03:47.178611	58.435653	
22:03:47.200729	60.036630	
22:03:47.222847	59.236142	
22:03:47.244966	57.635165	
22:03:47.267084	56.834676	
22:03:47.289203	58.435653	
22:03:47.311321	59.236142	
22:03:47.333439	58.435653	
22:03:47.355557	58.435653	
22:03:47.377676	58.435653	
22:03:47.399794	58.435653	
22:03:47.421912	59.236142	
22:03:47.444031	57.635165	
22:03:47.466149	56.834676	
22:03:47.488268	58.435653	
22:03:47.510386	59.236142	
22:03:47.532504	58.435653	
22:03:47.554622	58.435653	
22:03:47.576741	58.435653	
22:03:47.598859	58.435653	
22:03:47.620977	58.435653	
22:03:47.643096	57.635165	
22:03:47.665214	56.834676	
22:03:47.687333	58.435653	
22:03:47.709451	57.635165	
22:03:47.731569	58.435653	
22:03:47.753687	58.435653	
22:03:47.775806	58.435653	
22:03:47.797924	60.036630	
22:03:47.820043	58.435653	
22:03:47.842161	58.435653	
22:03:47.864279	56.834676	
22:03:47.886397	58.435653	
22:03:47.908517	58.435653	
22:03:47.930634	58.435653	
22:03:47.952753	58.435653	
22:03:47.974871	57.635165	
22:03:47.996989	60.036630	
22:03:48.019108	60.036630	
22:03:48.041226	58.435653	
22:03:48.063344	56.034188	
22:03:48.085462	58.435653	
22:03:48.107582	58.435653	
22:03:48.129699	58.435653	
22:03:48.151818	59.236142	
22:03:48.173936	58.435653	
22:03:48.196055	59.236142	
22:03:48.218173	59.236142	
22:03:48.240292	57.635165	
22:03:48.262409	56.834676	
22:03:48.284528	58.435653	
22:03:48.306646	59.236142	
22:03:48.328765	59.236142	
22:03:48.350883	58.435653	
22:03:48.373001	57.635165	
22:03:48.395120	59.236142	
22:03:48.417238	58.435653	
22:03:48.439357	57.635165	
22:03:48.461474	56.834676	
22:03:48.483593	59.236142	
22:03:48.505711	58.435653	
22:03:48.527830	57.635165	
22:03:48.549948	57.635165	
22:03:48.572066	59.236142	
22:03:48.594185	59.236142	
22:03:48.616303	58.435653	
22:03:48.638422	58.435653	
22:03:48.660539	56.834676	
22:03:48.682658	59.236142	
22:03:48.704776	59.236142	
22:03:48.726895	59.236142	
22:03:48.749013	58.435653	
22:03:48.771132	58.435653	
22:03:48.793250	59.236142	
22:03:48.815368	59.236142	
22:03:48.837487	58.435653	
22:03:48.859606	56.834676	
