IRIG Time	ARC_DECOM_STREAM_1: LEP MCP	ARC_DECOM_STREAM_1: LEP Mesh	ARC_DECOM_STREAM_1: LEP SvFix	ARC_DECOM_STREAM_1: LEP Sweep	
22:03:50.587387	32	2050	26	0	
22:03:50.609505	48	2048	0	9	
22:03:50.631623	25	2009	0	0	
22:03:50.653741	88	2063	19	4	
22:03:50.675859	39	2043	41	0	
22:03:50.697979	0	2017	0	0	
22:03:50.720097	0	2273	0	0	
22:03:50.742215	1	2128	0	30	
22:03:50.764333	0	2047	0	20	
22:03:50.786452	0	2078	55	0	
22:03:50.808570	78	1970	0	0	
22:03:50.830689	40	2035	0	27	
22:03:50.852806	0	2215	0	14	
22:03:50.874925	2	2116	70	0	
22:03:50.897043	32	2026	32	17	
22:03:50.919162	61	2100	129	9	
22:03:50.941280	54	2068	9	27	
22:03:50.963398	20	2078	19	4	
22:03:50.985516	79	1861	0	27	
22:03:51.007635	30	1992	0	4	
22:03:51.029754	26	2082	20	15	
22:03:51.051871	48	2110	0	56	
22:03:51.073990	1	2058	0	70	
22:03:51.096108	7	2000	0	43	
22:03:51.118227	12	2133	0	33	
22:03:51.140345	57	2048	14	27	
22:03:51.162463	0	1945	16	14	
22:03:51.184581	64	2090	110	9	
22:03:51.206700	46	2056	12	58	
22:03:51.228819	0	2198	39	15	
22:03:51.250937	20	2089	22	2	
22:03:51.273055	0	2030	68	0	
22:03:51.295173	18	2121	21	6	
22:03:51.317292	26	1961	0	11	
22:03:51.339410	52	2184	0	43	
22:03:51.361528	15	2201	40	42	
22:03:51.383647	16	2010	65	21	
22:03:51.405765	104	1781	2	0	
22:03:51.427884	0	2182	25	37	
22:03:51.450002	42	1971	17	16	
22:03:51.472120	35	2037	0	49	
22:03:51.494239	70	2293	0	0	
22:03:51.516357	35	2083	36	0	
22:03:51.538476	51	2084	16	6	
22:03:51.560593	44	2123	4	36	
22:03:51.582712	44	2077	0	0	
22:03:51.604830	0	2148	0	11	
22:03:51.626948	21	2011	36	43	
22:03:51.649067	48	2173	0	23	
22:03:51.671185	33	1981	121	26	
22:03:51.693304	29	2041	30	32	
22:03:51.715422	6	1869	0	59	
22:03:51.737541	13	2081	73	19	
22:03:51.759659	0	2079	49	17	
22:03:51.781777	0	1998	19	0	
22:03:51.803895	89	1862	0	30	
22:03:51.826014	14	2146	0	48	
22:03:51.848132	76	2026	0	9	
22:03:51.870251	63	1980	0	36	
22:03:51.892369	24	1827	0	0	
22:03:51.914487	62	2024	6	0	
22:03:51.936605	0	2122	0	13	
22:03:51.958724	33	2043	29	0	
22:03:51.980842	49	2106	0	7	
22:03:52.002960	19	2045	51	13	
22:03:52.025079	56	2063	0	0	
22:03:52.047197	54	2141	0	16	
22:03:52.069316	0	2094	41	0	
22:03:52.091434	26	1997	9	0	
22:03:52.113552	35	2030	0	0	
22:03:52.135670	23	2000	38	6	
22:03:52.157789	44	2091	8	4	
22:03:52.179907	0	2059	0	8	
22:03:52.202026	28	2051	5	0	
22:03:52.224144	0	2174	83	44	
22:03:52.246262	49	2105	50	0	
22:03:52.268381	16	2049	0	45	
22:03:52.290499	9	2197	0	13	
22:03:52.312617	0	2148	63	11	
22:03:52.334735	27	2105	0	49	
22:03:52.356854	51	2093	9	13	
22:03:52.378973	0	2135	83	34	
22:03:52.401091	59	2215	79	0	
22:03:52.423209	55	2008	15	26	
22:03:52.445328	0	1887	0	56	
22:03:52.467446	0	1964	86	0	
22:03:52.489564	23	2188	0	9	
22:03:52.511682	31	2191	38	16	
22:03:52.533801	33	2239	36	0	
22:03:52.555919	51	2024	84	75	
22:03:52.578038	0	1996	4	0	
22:03:52.600156	0	2187	26	0	
22:03:52.622274	44	2075	27	0	
22:03:52.644393	0	2084	6	30	
22:03:52.666511	41	2167	26	47	
22:03:52.688630	14	2136	39	52	
22:03:52.710747	0	2060	25	0	
22:03:52.732866	34	2278	41	43	
22:03:52.754984	45	1993	42	0	
22:03:52.777103	52	2165	0	0	
22:03:52.799221	14	2107	0	35	
22:03:52.821340	52	1872	30	0	
22:03:52.843458	58	2055	0	46	
22:03:52.865576	70	2091	0	20	
22:03:52.887695	67	2122	0	0	
22:03:52.909812	0	2167	0	20	
22:03:52.931932	0	1979	116	17	
22:03:52.954049	19	2100	6	3	
22:03:52.976168	25	2116	0	0	
22:03:52.998286	51	2134	0	17	
22:03:53.020405	47	2006	22	40	
22:03:53.042523	25	2111	0	30	
22:03:53.064641	29	2368	0	34	
22:03:53.086759	36	2147	0	40	
22:03:53.108878	64	2035	128	9	
22:03:53.130996	28	2107	17	10	
22:03:53.153115	68	1950	51	41	
22:03:53.175233	4	1882	24	12	
22:03:53.197352	18	2060	21	0	
22:03:53.219470	52	2047	0	0	
22:03:53.241588	21	1781	0	24	
22:03:53.263706	0	1985	0	33	
22:03:53.285824	46	2000	26	8	
22:03:53.307943	3	2058	140	31	
22:03:53.330061	17	2173	48	44	
22:03:53.352180	38	2066	0	23	
22:03:53.374298	48	2071	0	17	
22:03:53.396416	31	2022	0	17	
22:03:53.418535	15	2068	16	24	
22:03:53.440653	66	2045	31	25	
22:03:53.462771	35	2060	0	0	
22:03:53.484890	28	2069	61	0	
22:03:53.507008	21	1951	0	17	
22:03:53.529127	53	1971	0	24	
22:03:53.551245	0	1983	39	56	
22:03:53.573363	18	2114	0	0	
22:03:53.595481	0	2063	125	24	
22:03:53.617600	22	1991	75	0	
22:03:53.639718	70	2083	12	6	
22:03:53.661836	0	1932	49	39	
22:03:53.683955	30	2027	24	0	
22:03:53.706073	44	2157	36	41	
22:03:53.728192	7	2030	0	8	
22:03:53.750310	0	2102	7	22	
22:03:53.772428	53	2160	0	39	
22:03:53.794546	29	2113	20	4	
22:03:53.816665	27	2029	0	0	
22:03:53.838784	0	2174	51	12	
22:03:53.860902	38	2138	16	0	
22:03:53.883020	14	2007	101	0	
22:03:53.905138	37	2104	62	107	
22:03:53.927257	21	2031	34	45	
22:03:53.949375	1	2101	0	46	
22:03:53.971493	46	2093	0	0	
22:03:53.993611	28	2007	0	0	
22:03:54.015730	38	2040	0	0	
22:03:54.037849	55	2062	0	26	
22:03:54.059967	31	2120	0	20	
22:03:54.082085	95	2052	0	54	
22:03:54.104203	0	2159	137	36	
22:03:54.126322	0	2097	57	40	
22:03:54.148441	3	2312	25	4	
22:03:54.170558	47	2161	0	16	
22:03:54.192677	22	1952	36	26	
22:03:54.214795	32	1999	40	0	
22:03:54.236913	44	2053	0	29	
22:03:54.259032	0	2085	0	12	
22:03:54.281150	0	2151	43	5	
22:03:54.303269	37	1994	0	19	
22:03:54.325387	19	2182	15	3	
22:03:54.347506	41	2140	71	0	
22:03:54.369624	45	2175	0	9	
22:03:54.391742	51	2056	29	0	
22:03:54.413860	14	2056	0	36	
22:03:54.435979	47	1697	3	18	
22:03:54.458097	13	2140	0	0	
22:03:54.480215	13	2207	62	1	
22:03:54.502334	20	2193	35	9	
22:03:54.524452	5	2006	0	17	
22:03:54.546570	0	2009	50	57	
22:03:54.568689	48	2029	0	29	
22:03:54.590807	38	2116	43	24	
22:03:54.612925	38	2117	0	0	
22:03:54.635044	64	1777	0	35	
22:03:54.657162	8	2180	12	2	
22:03:54.679281	33	2079	16	16	
22:03:54.701399	35	1994	64	0	
22:03:54.723518	19	2148	40	51	
22:03:54.745635	9	1991	0	45	
22:03:54.767754	27	1889	79	9	
22:03:54.789873	0	2186	157	19	
22:03:54.811991	66	1894	27	0	
22:03:54.834109	37	2041	0	0	
22:03:54.856227	0	1917	118	24	
22:03:54.878346	26	2162	48	70	
22:03:54.900464	22	2158	0	30	
22:03:54.922583	23	2101	0	36	
22:03:54.944700	25	2003	0	43	
22:03:54.966819	37	2064	0	28	
22:03:54.988937	42	2007	38	30	
22:03:55.011056	48	1919	45	21	
22:03:55.033174	18	1929	0	0	
22:03:55.055292	40	2096	55	0	
22:03:55.077411	0	1871	0	46	
22:03:55.099529	61	2062	28	11	
22:03:55.121648	22	2072	18	9	
22:03:55.143765	29	2270	54	17	
22:03:55.165884	16	2040	120	0	
22:03:55.188003	2	1997	26	8	
22:03:55.210121	62	2058	0	78	
22:03:55.232239	15	2201	96	19	
22:03:55.254358	16	2050	87	0	
22:03:55.276476	14	2200	11	0	
22:03:55.298595	19	1988	0	41	
22:03:55.320713	18	1946	0	58	
22:03:55.342831	0	2086	121	70	
22:03:55.364949	47	1974	0	42	
22:03:55.387068	0	2092	0	0	
22:03:55.409186	27	1956	41	30	
22:03:55.431304	27	2027	22	32	
22:03:55.453423	32	1985	19	11	
22:03:55.475541	26	2013	29	2	
22:03:55.497660	36	2017	110	0	
22:03:55.519778	6	1970	70	25	
22:03:55.541896	93	2011	0	6	
22:03:55.564014	22	2030	8	16	
22:03:55.586133	74	2056	0	1	
22:03:55.608251	0	2107	98	7	
22:03:55.630369	61	1872	0	6	
22:03:55.652487	25	2210	24	0	
22:03:55.674606	36	2007	19	25	
22:03:55.696724	36	2163	19	6	
22:03:55.718843	23	2024	0	0	
22:03:55.740961	52	2126	0	22	
22:03:55.763080	11	1970	59	0	
22:03:55.785198	62	1828	32	0	
22:03:55.807317	65	1769	51	26	
22:03:55.829435	2	2034	16	59	
22:03:55.851552	0	1961	0	44	
22:03:55.873671	48	2026	27	29	
22:03:55.895789	0	1922	0	0	
22:03:55.917908	55	2022	31	9	
22:03:55.940026	39	2112	0	0	
22:03:55.962145	39	2146	0	44	
22:03:55.984263	44	1974	12	0	
22:03:56.006381	16	2089	40	61	
22:03:56.028500	32	1987	25	2	
22:03:56.050618	5	2153	6	34	
22:03:56.072736	24	2090	0	41	
22:03:56.094855	0	2071	27	54	
22:03:56.116973	17	2047	41	0	
22:03:56.139092	20	2052	40	34	
22:03:56.161210	26	1955	0	52	
22:03:56.183328	57	1906	0	0	
22:03:56.205446	25	1946	48	0	
22:03:56.227565	28	2145	23	0	
22:03:56.249683	39	2030	34	0	
22:03:56.271801	29	2324	35	37	
22:03:56.293920	9	2053	3	0	
22:03:56.316038	28	2073	0	0	
22:03:56.338157	0	2019	0	6	
22:03:56.360275	28	2059	24	39	
22:03:56.382393	32	1918	64	0	
22:03:56.404512	11	2053	116	14	
22:03:56.426630	5	2118	24	66	
22:03:56.448749	56	1982	1	7	
22:03:56.470866	9	2133	64	35	
22:03:56.492985	0	2173	0	77	
22:03:56.515103	21	2195	48	22	
22:03:56.537222	71	1910	0	30	
22:03:56.559340	33	2055	0	0	
22:03:56.581458	52	2228	0	0	
22:03:56.603576	30	2145	99	0	
22:03:56.625695	0	2063	25	0	
