IRIG Time	ARC_DECOM_STREAM_1: Imon FBP	ARC_DECOM_STREAM_1: Imon LEP	
22:03:47.002815	90.455189	104.863980	
22:03:47.024934	90.455189	104.063492	
22:03:47.047052	91.255678	104.063492	
22:03:47.069171	92.056166	103.263004	
22:03:47.091289	91.255678	106.464957	
22:03:47.113407	89.654701	106.464957	
22:03:47.135526	84.851770	104.063492	
22:03:47.157644	89.654701	100.061050	
22:03:47.179763	91.255678	96.058608	
22:03:47.201881	90.455189	104.063492	
22:03:47.223999	90.455189	104.063492	
22:03:47.246118	91.255678	103.263004	
22:03:47.268236	92.056166	102.462515	
22:03:47.290355	91.255678	106.464957	
22:03:47.312473	89.654701	105.664469	
22:03:47.334591	85.652259	104.863980	
22:03:47.356709	90.455189	100.061050	
22:03:47.378828	90.455189	96.859096	
22:03:47.400946	91.255678	104.063492	
22:03:47.423064	90.455189	104.063492	
22:03:47.445183	91.255678	104.063492	
22:03:47.467301	92.056166	104.063492	
22:03:47.489420	91.255678	106.464957	
22:03:47.511538	89.654701	106.464957	
22:03:47.533656	85.652259	104.863980	
22:03:47.555774	91.255678	100.861538	
22:03:47.577893	90.455189	96.058608	
22:03:47.600011	91.255678	104.863980	
22:03:47.622129	91.255678	104.863980	
22:03:47.644248	91.255678	104.063492	
22:03:47.666366	91.255678	103.263004	
22:03:47.688485	91.255678	106.464957	
22:03:47.710603	88.854212	107.265446	
22:03:47.732721	85.652259	104.863980	
22:03:47.754839	90.455189	100.061050	
22:03:47.776958	90.455189	96.058608	
22:03:47.799076	90.455189	104.063492	
22:03:47.821195	90.455189	104.063492	
22:03:47.843313	90.455189	104.863980	
22:03:47.865431	92.056166	103.263004	
22:03:47.887549	91.255678	106.464957	
22:03:47.909669	88.854212	106.464957	
22:03:47.931786	85.652259	104.063492	
22:03:47.953905	91.255678	100.061050	
22:03:47.976023	90.455189	95.258120	
22:03:47.998141	91.255678	104.863980	
22:03:48.020260	91.255678	104.863980	
22:03:48.042378	90.455189	104.063492	
22:03:48.064496	91.255678	103.263004	
22:03:48.086614	91.255678	106.464957	
22:03:48.108734	90.455189	105.664469	
22:03:48.130851	84.851770	104.863980	
22:03:48.152970	91.255678	100.061050	
22:03:48.175088	90.455189	96.058608	
22:03:48.197207	90.455189	104.863980	
22:03:48.219325	90.455189	104.063492	
22:03:48.241444	91.255678	104.863980	
22:03:48.263561	92.056166	104.063492	
22:03:48.285680	91.255678	105.664469	
22:03:48.307798	88.854212	105.664469	
22:03:48.329917	85.652259	104.863980	
22:03:48.352035	91.255678	100.861538	
22:03:48.374153	90.455189	96.058608	
22:03:48.396272	90.455189	104.863980	
22:03:48.418390	90.455189	104.063492	
22:03:48.440509	91.255678	103.263004	
22:03:48.462626	92.056166	104.063492	
22:03:48.484745	92.056166	105.664469	
22:03:48.506863	89.654701	106.464957	
22:03:48.528982	84.851770	104.863980	
22:03:48.551100	90.455189	100.061050	
22:03:48.573218	90.455189	96.058608	
22:03:48.595337	90.455189	104.063492	
22:03:48.617455	90.455189	105.664469	
22:03:48.639574	92.056166	104.863980	
22:03:48.661691	91.255678	103.263004	
22:03:48.683810	90.455189	106.464957	
22:03:48.705928	88.854212	106.464957	
