IRIG Time	ARC_DECOM_STREAM_1: Imon DSS1	ARC_DECOM_STREAM_1: Imon Efield	ARC_DECOM_STREAM_1: Imon mNLP	ARC_DECOM_STREAM_1: Imon SRADS2	
22:03:46.997055	75.245910	97.659585	104.863980	107.265446	
22:03:47.019174	75.245910	96.859096	104.863980	106.464957	
22:03:47.041292	75.245910	97.659585	104.863980	106.464957	
22:03:47.063411	74.445421	97.659585	104.863980	107.265446	
22:03:47.085529	74.445421	96.859096	105.664469	106.464957	
22:03:47.107647	75.245910	96.058608	104.863980	106.464957	
22:03:47.129766	74.445421	96.859096	104.863980	107.265446	
22:03:47.151884	74.445421	96.859096	104.863980	107.265446	
22:03:47.174003	75.245910	96.859096	103.263004	107.265446	
22:03:47.196121	76.046398	97.659585	104.863980	107.265446	
22:03:47.218239	74.445421	98.460073	105.664469	106.464957	
22:03:47.240358	74.445421	98.460073	104.863980	106.464957	
22:03:47.262476	75.245910	97.659585	104.863980	106.464957	
22:03:47.284595	74.445421	97.659585	104.863980	106.464957	
22:03:47.306713	75.245910	96.859096	105.664469	106.464957	
22:03:47.328831	75.245910	96.859096	104.863980	107.265446	
22:03:47.350949	74.445421	97.659585	105.664469	107.265446	
22:03:47.373068	75.245910	96.859096	104.063492	107.265446	
22:03:47.395186	75.245910	96.859096	104.863980	106.464957	
22:03:47.417304	76.046398	96.859096	104.863980	105.664469	
22:03:47.439423	74.445421	97.659585	104.863980	106.464957	
22:03:47.461541	74.445421	96.859096	104.863980	107.265446	
22:03:47.483660	75.245910	96.859096	104.863980	106.464957	
22:03:47.505778	75.245910	96.859096	104.863980	106.464957	
22:03:47.527896	75.245910	97.659585	105.664469	107.265446	
22:03:47.550014	75.245910	96.859096	104.863980	107.265446	
22:03:47.572133	76.046398	97.659585	104.063492	106.464957	
22:03:47.594251	75.245910	97.659585	105.664469	106.464957	
22:03:47.616369	76.046398	97.659585	104.863980	106.464957	
22:03:47.638488	75.245910	97.659585	104.863980	106.464957	
22:03:47.660606	75.245910	97.659585	104.063492	107.265446	
22:03:47.682725	75.245910	97.659585	104.863980	106.464957	
22:03:47.704843	74.445421	97.659585	105.664469	106.464957	
22:03:47.726961	74.445421	97.659585	105.664469	106.464957	
22:03:47.749079	75.245910	96.859096	104.863980	107.265446	
22:03:47.771198	75.245910	97.659585	103.263004	106.464957	
22:03:47.793316	75.245910	97.659585	105.664469	106.464957	
22:03:47.815435	75.245910	96.859096	104.863980	106.464957	
22:03:47.837553	75.245910	97.659585	104.863980	106.464957	
22:03:47.859671	74.445421	97.659585	104.863980	107.265446	
22:03:47.881789	75.245910	96.859096	105.664469	107.265446	
22:03:47.903909	75.245910	96.859096	105.664469	106.464957	
22:03:47.926026	75.245910	96.859096	104.863980	106.464957	
22:03:47.948145	75.245910	98.460073	104.863980	107.265446	
22:03:47.970263	75.245910	97.659585	103.263004	107.265446	
22:03:47.992381	76.046398	97.659585	104.063492	106.464957	
22:03:48.014500	76.046398	97.659585	104.863980	106.464957	
22:03:48.036618	75.245910	97.659585	105.664469	107.265446	
22:03:48.058736	74.445421	97.659585	104.863980	105.664469	
22:03:48.080854	75.245910	96.859096	105.664469	107.265446	
22:03:48.102974	75.245910	96.859096	104.863980	106.464957	
22:03:48.125091	75.245910	96.859096	104.863980	106.464957	
22:03:48.147210	75.245910	97.659585	104.863980	106.464957	
22:03:48.169328	75.245910	97.659585	104.863980	107.265446	
22:03:48.191447	76.046398	96.859096	104.863980	106.464957	
22:03:48.213565	76.046398	96.859096	105.664469	106.464957	
22:03:48.235684	74.445421	96.058608	104.863980	106.464957	
22:03:48.257801	75.245910	96.859096	104.863980	106.464957	
22:03:48.279920	75.245910	96.859096	104.863980	107.265446	
22:03:48.302038	75.245910	96.859096	105.664469	106.464957	
22:03:48.324157	75.245910	96.859096	104.863980	106.464957	
22:03:48.346275	75.245910	97.659585	104.863980	106.464957	
22:03:48.368393	76.046398	97.659585	104.063492	106.464957	
22:03:48.390512	75.245910	96.859096	104.863980	106.464957	
22:03:48.412630	75.245910	97.659585	105.664469	106.464957	
22:03:48.434749	75.245910	97.659585	105.664469	106.464957	
22:03:48.456866	74.445421	97.659585	104.863980	106.464957	
22:03:48.478985	74.445421	97.659585	104.863980	106.464957	
22:03:48.501103	75.245910	96.058608	105.664469	106.464957	
22:03:48.523222	74.445421	97.659585	104.863980	107.265446	
22:03:48.545340	75.245910	97.659585	104.863980	107.265446	
22:03:48.567458	76.046398	97.659585	104.063492	106.464957	
22:03:48.589577	75.245910	97.659585	104.863980	105.664469	
22:03:48.611695	75.245910	97.659585	104.863980	106.464957	
22:03:48.633814	75.245910	98.460073	104.863980	106.464957	
22:03:48.655931	74.445421	96.859096	104.863980	107.265446	
22:03:48.678050	75.245910	96.859096	105.664469	106.464957	
22:03:48.700168	75.245910	97.659585	104.863980	105.664469	
22:03:48.722287	75.245910	96.859096	104.863980	107.265446	
22:03:48.744405	75.245910	96.859096	105.664469	107.265446	
22:03:48.766524	75.245910	96.859096	104.063492	106.464957	
22:03:48.788642	75.245910	97.659585	104.863980	106.464957	
22:03:48.810760	76.046398	97.659585	104.863980	106.464957	
22:03:48.832879	75.245910	97.659585	104.863980	106.464957	
22:03:48.854998	74.445421	97.659585	104.863980	106.464957	
22:03:48.877115	74.445421	98.460073	104.863980	106.464957	
22:03:48.899234	75.245910	96.859096	104.863980	106.464957	
22:03:48.921352	75.245910	96.859096	105.664469	107.265446	
22:03:48.943471	75.245910	96.859096	104.863980	107.265446	
22:03:48.965588	76.046398	97.659585	103.263004	106.464957	
22:03:48.987707	75.245910	96.859096	105.664469	106.464957	
22:03:49.009825	74.445421	97.659585	105.664469	105.664469	
22:03:49.031943	75.245910	96.859096	104.863980	106.464957	
22:03:49.054062	75.245910	97.659585	105.664469	106.464957	
22:03:49.076180	75.245910	97.659585	104.863980	107.265446	
22:03:49.098299	74.445421	96.859096	105.664469	106.464957	
22:03:49.120417	76.046398	96.859096	104.863980	106.464957	
22:03:49.142536	75.245910	96.859096	104.863980	108.065934	
22:03:49.164654	76.046398	96.859096	104.063492	107.265446	
22:03:49.186772	75.245910	96.859096	104.863980	106.464957	
22:03:49.208890	74.445421	97.659585	105.664469	106.464957	
22:03:49.231009	75.245910	97.659585	104.063492	105.664469	
22:03:49.253127	74.445421	97.659585	105.664469	106.464957	
22:03:49.275246	75.245910	97.659585	104.863980	106.464957	
22:03:49.297364	75.245910	96.859096	104.863980	106.464957	
22:03:49.319482	75.245910	96.859096	104.063492	106.464957	
22:03:49.341600	75.245910	97.659585	104.863980	106.464957	
22:03:49.363719	75.245910	96.859096	104.863980	105.664469	
22:03:49.385837	75.245910	97.659585	104.863980	107.265446	
22:03:49.407955	75.245910	96.859096	104.863980	106.464957	
22:03:49.430074	75.245910	97.659585	104.863980	106.464957	
22:03:49.452192	74.445421	97.659585	104.863980	106.464957	
22:03:49.474311	75.245910	97.659585	104.863980	107.265446	
22:03:49.496429	76.046398	96.859096	105.664469	105.664469	
22:03:49.518547	75.245910	96.859096	104.863980	107.265446	
22:03:49.540665	75.245910	96.859096	104.863980	106.464957	
22:03:49.562784	74.445421	96.859096	104.063492	106.464957	
22:03:49.584902	76.046398	96.859096	104.863980	106.464957	
22:03:49.607021	76.046398	96.859096	104.863980	105.664469	
22:03:49.629139	75.245910	97.659585	104.863980	105.664469	
22:03:49.651257	73.644933	97.659585	105.664469	106.464957	
22:03:49.673376	74.445421	97.659585	104.863980	106.464957	
22:03:49.695494	75.245910	97.659585	105.664469	106.464957	
22:03:49.717612	75.245910	96.859096	104.863980	106.464957	
22:03:49.739731	75.245910	97.659585	105.664469	107.265446	
22:03:49.761849	74.445421	97.659585	104.063492	107.265446	
22:03:49.783968	75.245910	97.659585	104.863980	106.464957	
22:03:49.806086	76.046398	97.659585	105.664469	106.464957	
22:03:49.828204	76.046398	96.058608	104.863980	107.265446	
22:03:49.850323	74.445421	96.859096	104.863980	106.464957	
22:03:49.872441	75.245910	96.859096	104.863980	106.464957	
22:03:49.894559	76.046398	97.659585	104.863980	106.464957	
22:03:49.916678	75.245910	96.859096	104.863980	106.464957	
22:03:49.938796	75.245910	97.659585	104.863980	106.464957	
22:03:49.960914	76.046398	97.659585	104.063492	106.464957	
22:03:49.983033	76.046398	97.659585	104.863980	106.464957	
22:03:50.005151	75.245910	97.659585	104.063492	106.464957	
22:03:50.027269	74.445421	97.659585	105.664469	106.464957	
22:03:50.049387	75.245910	97.659585	104.863980	107.265446	
22:03:50.071506	75.245910	97.659585	104.863980	106.464957	
22:03:50.093625	74.445421	96.859096	104.863980	106.464957	
22:03:50.115742	75.245910	96.859096	105.664469	106.464957	
22:03:50.137861	75.245910	97.659585	104.863980	106.464957	
22:03:50.159979	74.445421	97.659585	103.263004	105.664469	
22:03:50.182098	75.245910	96.859096	104.863980	106.464957	
22:03:50.204216	75.245910	96.859096	104.863980	105.664469	
22:03:50.226335	75.245910	97.659585	104.863980	105.664469	
22:03:50.248453	74.445421	97.659585	104.863980	106.464957	
22:03:50.270571	75.245910	97.659585	104.863980	106.464957	
22:03:50.292690	75.245910	96.859096	105.664469	105.664469	
22:03:50.314808	75.245910	97.659585	104.863980	106.464957	
22:03:50.336926	76.046398	97.659585	104.863980	107.265446	
22:03:50.359044	75.245910	97.659585	103.263004	105.664469	
22:03:50.381163	76.046398	96.859096	104.863980	106.464957	
22:03:50.403281	76.046398	96.859096	104.863980	106.464957	
22:03:50.425400	75.245910	97.659585	104.863980	106.464957	
22:03:50.447518	75.245910	97.659585	104.863980	105.664469	
22:03:50.469636	74.445421	97.659585	104.063492	106.464957	
22:03:50.491754	76.046398	97.659585	105.664469	106.464957	
22:03:50.513873	75.245910	96.859096	104.863980	106.464957	
22:03:50.535992	76.046398	97.659585	104.863980	106.464957	
22:03:50.558110	75.245910	97.659585	104.063492	106.464957	
22:03:50.580228	76.046398	97.659585	104.063492	106.464957	
22:03:50.602347	76.046398	97.659585	104.863980	106.464957	
22:03:50.624465	75.245910	97.659585	104.863980	106.464957	
22:03:50.646583	74.445421	97.659585	104.863980	105.664469	
22:03:50.668701	75.245910	97.659585	104.863980	106.464957	
22:03:50.690819	74.445421	96.859096	104.863980	106.464957	
22:03:50.712939	75.245910	96.859096	104.863980	107.265446	
22:03:50.735057	75.245910	97.659585	105.664469	107.265446	
22:03:50.757175	74.445421	96.859096	104.063492	105.664469	
22:03:50.779293	76.046398	97.659585	105.664469	107.265446	
22:03:50.801412	75.245910	96.859096	104.863980	106.464957	
22:03:50.823530	75.245910	97.659585	105.664469	105.664469	
22:03:50.845649	74.445421	97.659585	104.863980	106.464957	
22:03:50.867766	74.445421	96.859096	104.063492	106.464957	
22:03:50.889885	74.445421	96.058608	105.664469	106.464957	
22:03:50.912003	75.245910	96.859096	105.664469	106.464957	
22:03:50.934122	75.245910	97.659585	104.863980	106.464957	
22:03:50.956240	75.245910	97.659585	104.063492	107.265446	
22:03:50.978358	75.245910	96.859096	105.664469	107.265446	
22:03:51.000476	76.046398	97.659585	105.664469	106.464957	
22:03:51.022595	75.245910	97.659585	105.664469	106.464957	
22:03:51.044714	74.445421	97.659585	104.863980	106.464957	
22:03:51.066831	74.445421	96.859096	104.063492	107.265446	
22:03:51.088950	75.245910	96.859096	104.863980	106.464957	
22:03:51.111068	75.245910	96.058608	105.664469	106.464957	
22:03:51.133187	75.245910	96.859096	104.863980	106.464957	
22:03:51.155305	75.245910	97.659585	103.263004	106.464957	
22:03:51.177423	76.046398	97.659585	104.863980	106.464957	
22:03:51.199541	75.245910	98.460073	104.863980	106.464957	
22:03:51.221660	76.046398	97.659585	104.863980	107.265446	
22:03:51.243779	75.245910	97.659585	104.863980	106.464957	
22:03:51.265897	75.245910	96.859096	104.063492	107.265446	
22:03:51.288015	76.046398	96.859096	104.863980	105.664469	
22:03:51.310133	76.046398	96.859096	104.863980	105.664469	
22:03:51.332252	75.245910	97.659585	104.863980	107.265446	
22:03:51.354370	75.245910	96.859096	103.263004	106.464957	
22:03:51.376488	75.245910	96.859096	105.664469	106.464957	
22:03:51.398607	76.046398	97.659585	104.863980	106.464957	
22:03:51.420725	75.245910	97.659585	104.863980	106.464957	
22:03:51.442844	75.245910	97.659585	104.863980	106.464957	
22:03:51.464962	75.245910	96.859096	104.863980	107.265446	
22:03:51.487080	75.245910	96.859096	105.664469	105.664469	
22:03:51.509199	75.245910	96.859096	104.863980	106.464957	
22:03:51.531317	76.046398	97.659585	105.664469	107.265446	
22:03:51.553436	75.245910	97.659585	104.063492	106.464957	
22:03:51.575553	75.245910	96.859096	105.664469	106.464957	
22:03:51.597672	76.046398	96.058608	104.863980	107.265446	
22:03:51.619790	75.245910	96.859096	104.863980	105.664469	
22:03:51.641908	74.445421	97.659585	104.063492	107.265446	
22:03:51.664027	74.445421	96.058608	104.863980	106.464957	
22:03:51.686145	73.644933	96.859096	105.664469	104.863980	
22:03:51.708264	75.245910	96.859096	105.664469	107.265446	
22:03:51.730382	75.245910	96.859096	104.863980	107.265446	
22:03:51.752501	75.245910	97.659585	104.063492	106.464957	
22:03:51.774619	76.046398	96.859096	104.863980	106.464957	
22:03:51.796737	75.245910	97.659585	104.863980	107.265446	
22:03:51.818855	74.445421	97.659585	104.863980	106.464957	
22:03:51.840974	75.245910	97.659585	104.863980	107.265446	
22:03:51.863092	74.445421	96.859096	104.863980	106.464957	
22:03:51.885211	75.245910	96.859096	104.863980	106.464957	
22:03:51.907329	76.046398	96.859096	104.863980	106.464957	
22:03:51.929447	74.445421	97.659585	104.863980	107.265446	
22:03:51.951565	75.245910	97.659585	104.063492	106.464957	
22:03:51.973684	75.245910	97.659585	104.863980	106.464957	
22:03:51.995802	75.245910	97.659585	104.863980	106.464957	
22:03:52.017920	75.245910	97.659585	104.863980	105.664469	
22:03:52.040039	74.445421	97.659585	105.664469	107.265446	
22:03:52.062157	74.445421	97.659585	105.664469	106.464957	
22:03:52.084276	76.046398	96.058608	104.863980	105.664469	
22:03:52.106394	75.245910	96.859096	104.863980	106.464957	
22:03:52.128512	76.046398	96.859096	104.863980	107.265446	
22:03:52.150630	75.245910	96.859096	104.063492	106.464957	
22:03:52.172749	75.245910	97.659585	104.863980	106.464957	
22:03:52.194867	76.046398	97.659585	104.863980	107.265446	
22:03:52.216986	75.245910	97.659585	105.664469	105.664469	
22:03:52.239104	75.245910	97.659585	104.863980	106.464957	
22:03:52.261222	75.245910	97.659585	104.863980	106.464957	
22:03:52.283341	75.245910	97.659585	104.863980	106.464957	
22:03:52.305459	75.245910	96.859096	104.863980	107.265446	
22:03:52.327577	75.245910	97.659585	104.863980	106.464957	
22:03:52.349695	75.245910	97.659585	104.863980	105.664469	
22:03:52.371814	75.245910	97.659585	104.863980	106.464957	
22:03:52.393933	74.445421	96.859096	104.863980	105.664469	
22:03:52.416051	74.445421	97.659585	105.664469	106.464957	
22:03:52.438169	75.245910	97.659585	104.863980	106.464957	
22:03:52.460288	76.046398	96.859096	104.863980	107.265446	
22:03:52.482406	75.245910	96.859096	104.863980	106.464957	
22:03:52.504524	75.245910	96.859096	105.664469	106.464957	
22:03:52.526642	75.245910	96.859096	104.863980	106.464957	
22:03:52.548761	75.245910	97.659585	104.063492	106.464957	
22:03:52.570879	75.245910	96.859096	104.863980	106.464957	
22:03:52.592998	75.245910	96.859096	105.664469	106.464957	
22:03:52.615116	74.445421	97.659585	104.863980	106.464957	
22:03:52.637234	75.245910	97.659585	104.863980	106.464957	
22:03:52.659353	75.245910	97.659585	104.063492	107.265446	
22:03:52.681471	75.245910	96.859096	104.863980	106.464957	
22:03:52.703590	74.445421	96.859096	104.863980	107.265446	
22:03:52.725707	75.245910	97.659585	104.863980	107.265446	
22:03:52.747826	75.245910	96.859096	103.263004	106.464957	
22:03:52.769944	76.046398	97.659585	104.863980	107.265446	
22:03:52.792063	75.245910	96.859096	104.863980	105.664469	
22:03:52.814181	75.245910	96.859096	104.863980	107.265446	
22:03:52.836300	74.445421	97.659585	104.863980	107.265446	
22:03:52.858418	75.245910	97.659585	105.664469	105.664469	
22:03:52.880536	75.245910	96.859096	104.863980	106.464957	
22:03:52.902655	75.245910	96.859096	105.664469	107.265446	
22:03:52.924772	74.445421	97.659585	104.863980	106.464957	
22:03:52.946892	75.245910	96.859096	104.063492	106.464957	
22:03:52.969009	75.245910	96.859096	104.863980	106.464957	
22:03:52.991128	75.245910	97.659585	104.863980	105.664469	
22:03:53.013246	75.245910	97.659585	105.664469	106.464957	
22:03:53.035365	74.445421	97.659585	105.664469	106.464957	
22:03:53.057483	75.245910	98.460073	105.664469	106.464957	
22:03:53.079601	74.445421	96.859096	105.664469	106.464957	
22:03:53.101719	74.445421	97.659585	104.863980	107.265446	
22:03:53.123838	75.245910	97.659585	104.863980	106.464957	
22:03:53.145956	75.245910	96.859096	104.063492	107.265446	
22:03:53.168075	75.245910	96.859096	104.863980	106.464957	
22:03:53.190193	75.245910	97.659585	104.863980	105.664469	
22:03:53.212312	75.245910	97.659585	105.664469	107.265446	
22:03:53.234430	75.245910	97.659585	104.863980	107.265446	
