 65.00   83647.6  69.46647  15.77841    611.61   -318.98  -2250.20
 66.00   85895.5  69.47181  15.77039    611.62   -319.00  -2240.61
 66.00   85895.5  69.47181  15.77039    611.62   -319.00  -2240.61
 66.00   85895.5  69.47181  15.77039    611.62   -319.00  -2240.61
 67.00   88133.8  69.47713  15.76238    611.64   -319.01  -2231.03
 68.00   90362.6  69.48247  15.75437    611.65   -319.03  -2221.45
 69.00   92582.0  69.48779  15.74636    611.66   -319.04  -2211.88
 70.00   94791.8  69.49311  15.73834    611.66   -319.06  -2202.32
 71.00   96992.2  69.49843  15.73033    611.67   -319.07  -2192.77
 72.00   99183.0  69.50375  15.72233    611.68   -319.08  -2183.22
 73.00  101364.4  69.50906  15.71432    611.69   -319.09  -2173.68
 74.00  103536.4  69.51436  15.70631    611.69   -319.10  -2164.15
 75.00  105698.8  69.51966  15.69830    611.70   -319.11  -2154.62
 76.10  108066.6  69.52549  15.68949    611.70   -319.11  -2144.15
 77.10  110209.3  69.53079  15.68149    611.70   -319.12  -2134.63
 78.10  112342.5  69.53608  15.67348    611.71   -319.12  -2125.13
 79.10  114466.2  69.54137  15.66548    611.71   -319.13  -2115.63
 80.10  116580.5  69.54665  15.65747    611.71   -319.13  -2106.13
 81.10  118685.5  69.55194  15.64947    611.71   -319.13  -2096.64
 82.10  120781.0  69.55721  15.64147    611.71   -319.14  -2087.16
 83.10  122867.0  69.56249  15.63346    611.71   -319.14  -2077.68
 84.10  124943.7  69.56776  15.62546    611.70   -319.14  -2068.21
 85.10  127011.0  69.57303  15.61746    611.70   -319.13  -2058.75
 86.10  129068.9  69.57830  15.60946    611.69   -319.13  -2049.29
 87.10  131117.4  69.58356  15.60146    611.69   -319.13  -2039.83
 88.10  133156.5  69.58882  15.59346    611.68   -319.13  -2030.39
 89.10  135186.3  69.59407  15.58546    611.68   -319.12  -2020.95
 90.10  137206.7  69.59933  15.57746    611.67   -319.11  -2011.51
 91.10  139217.7  69.60458  15.56946    611.66   -319.11  -2002.08
 92.10  141219.4  69.60982  15.56147    611.65   -319.10  -1992.66
 93.10  143211.7  69.61506  15.55347    611.64   -319.09  -1983.24
 94.10  145194.7  69.62030  15.54547    611.63   -319.08  -1973.83
 95.10  147168.3  69.62553  15.53747    611.61   -319.07  -1964.42
 96.10  149132.6  69.63077  15.52948    611.60   -319.06  -1955.02
 97.10  151087.6  69.63600  15.52148    611.59   -319.05  -1945.63
 98.10  153033.2  69.64123  15.51349    611.57   -319.03  -1936.24
 99.10  154969.6  69.64645  15.50549    611.56   -319.02  -1926.85
100.10  156896.6  69.65167  15.49750    611.54   -319.01  -1917.47
101.10  158814.3  69.65689  15.48950    611.52   -318.99  -1908.10
102.10  160722.7  69.66210  15.48151    611.51   -318.97  -1898.73
103.10  162621.8  69.66731  15.47352    611.49   -318.95  -1889.37
104.10  164511.7  69.67252  15.46552    611.47   -318.94  -1880.02
105.10  166392.2  69.67773  15.45753    611.45   -318.92  -1870.67
106.10  168263.5  69.68293  15.44954    611.42   -318.90  -1861.32
107.10  170125.5  69.68813  15.44155    611.40   -318.87  -1851.98
108.10  171978.2  69.69333  15.43355    611.38   -318.85  -1842.64
109.10  173821.7  69.69852  15.42556    611.36   -318.83  -1833.31
110.10  175655.9  69.70371  15.41757    611.33   -318.80  -1823.99
111.10  177480.9  69.70890  15.40958    611.31   -318.78  -1814.67
112.10  179296.6  69.71409  15.40159    611.28   -318.75  -1805.36
113.10  181103.0  69.71927  15.39360    611.25   -318.73  -1796.05
114.10  182900.3  69.72445  15.38561    611.22   -318.70  -1786.74
115.10  184688.3  69.72962  15.37762    611.20   -318.67  -1777.44
116.10  186467.0  69.73479  15.36963    611.17   -318.64  -1768.15
117.10  188236.6  69.73997  15.36164    611.14   -318.61  -1758.86
118.10  189996.9  69.74513  15.35365    611.10   -318.58  -1749.58
119.10  191748.0  69.75031  15.34566    611.07   -318.55  -1740.30
120.10  193490.0  69.75546  15.33767    611.04   -318.51  -1731.03
121.10  195222.7  69.76063  15.32968    611.01   -318.48  -1721.76
122.10  196946.2  69.76579  15.32169    610.97   -318.45  -1712.49
123.10  198660.5  69.77094  15.31370    610.94   -318.41  -1703.23
124.10  200365.6  69.77608  15.30571    610.90   -318.37  -1693.98
125.10  202061.6  69.78123  15.29772    610.86   -318.34  -1684.73
126.10  203748.3  69.78638  15.28974    610.82   -318.30  -1675.49
127.10  205425.9  69.79153  15.28175    610.79   -318.26  -1666.25
